Timestamp	Gender	Year of Study	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with your roommates?	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with your hallmates?	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with students of your department?	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with your members of societies you are involved in?	Does being involved in any outdoor activity for a while with your friends (playing some game, going for a walk together) improve the rest of your day?	Do your friends make an effort to cheer you up if you are feeling upset/depressed?	Do you make an effort to cheer up your friends if they are feeling upset/depressed?	Who is your go-to person to open up about your feelings if you are dealing with emotional/mental stress?	On a scale of 5 rate your relationship with the hall working staff ( mess workers, others)
11-11-2019 23:57	Male	2nd Year	5	5	5	5	1	0.5	0.5	Parents or Family members	3
11-12-2019 0:03	Male	3rd Year	3	2	2	5	1	0.5	0.5	girlfriend	2
11-12-2019 0:07	Male	2nd Year	4	4	2	1	1	0.5	0.5	Parents or Family members	4
11-12-2019 0:08	Male	1st year	3	2	4	4	1	0.5	1	Friends	4
11-12-2019 0:11	Male	3rd Year	5	3	3	1	0	0.5	1	0 one	3
11-12-2019 0:21	Male	4th Year	4	3	3	3	1	0	0.5	Friends	4
11-12-2019 0:39	Male	2nd Year	4	3	2	3	1	0	1	0 one	3
11-12-2019 0:39	Male	1st year	4	4	2	4	1	1	1	0 one	3
11-12-2019 0:43	Male	4th Year	3	2	3	4	1	0.5	1	Friends	3
11-12-2019 0:44	Male	2nd Year	2	2	3	4	1	1	1	0 one	1
11-12-2019 0:55	Male	4th Year	5	1	2	4	1	1	1	Friends	1
11-12-2019 1:02	Male	3rd Year	4	1	3	5	1	1	1	Friends	1
11-12-2019 1:04	Male	4th Year	3	1	2	1	0	0.5	0	0 one	3
11-12-2019 1:13	Male	4th Year	4	4	2	4	1	0.5	0.5	0 one	1
11-12-2019 1:22	Male	1st year	2	3	1	3	1	0	1	Friends	3
11-12-2019 1:27	Male	4th Year	2	3	5	5	1	0.5	1	0 one	2
11-12-2019 1:40	Female	1st year	2	1	2	1	0	0	0	0 one	1
11-12-2019 1:45	Male	5th Year	5	5	4	5	1	0.5	0	Friends	3
11-12-2019 1:55	Male	1st year	5	4	3	2	1	0.5	1	Friends	3
11-12-2019 1:57	Female	1st year	3	1	1	3	1	0.5	1	Parents or Family members	4
11-12-2019 2:14	Male	4th Year	5	4	5	4	1	1	1	gf	4
11-12-2019 2:18	Male	1st year	5	4	4	4	1	1	1	Parents or Family members	4
11-12-2019 2:27	Male	2nd Year	4	3	5	4	1	0.5	1	0 one	3
11-12-2019 2:46	Female	3rd Year	4	4	2	4	1	1	1	Parents or Family members	3
11-12-2019 3:00	Male	4th Year	1	2	3	1	1	0.5	0	0 one	2
11-12-2019 3:10	Female	2nd Year	3	3	4	5	1	1	1	Boyfriend	4
11-12-2019 3:22	Male	5+ year	5	5	5	5	1	1	1	Girlfriend	1
11-12-2019 3:27	Male	2nd Year	1	4	5	5	1	1	0.5	0 one	3
11-12-2019 3:48	Male	2nd Year	4	3	3	4	1	1	1	Friends	3
11-12-2019 4:14	Male	1st year	4	4	3	4	1	0.5	1	Friends	2
11-12-2019 4:53	Female	1st year	5	5	5	5	1	1	1	My boyfriend	5
11-12-2019 5:12	Male	1st year	5	4	3	5	1	1	0.5	Friends	3
11-12-2019 5:20	Male	3rd Year	5	4	4	3	1	1	1	Friends	4
11-12-2019 5:48	Female	3rd Year	4	2	3	1	1	0.5	0.5	0 one	2
11-12-2019 6:22	Female	1st year	4	4	3	2	1	1	1	Parents or Family members	4
11-12-2019 6:33	Female	1st year	3	4	4	5	1	1	1	Friends	4
11-12-2019 7:01	Male	2nd Year	1	5	5	5	1	1	1	Parents or Family members	3
11-12-2019 7:18	Male	4th Year	4	2	3	4	1	0.5	1	Parents or Family members	2
11-12-2019 7:50	Male	3rd Year	5	3	3	2	1	1	1	Friends	3
11-12-2019 7:58	Male	2nd Year	4	4	3	5	0	0.5	1	Friends	3
11-12-2019 7:58	Male	1st year	3	3	2	6	1	0.5	1	Friends	3
11-12-2019 8:14	Male	1st year	1	3	1	4	1	0.5	0.5	Parents or Family members	4
11-12-2019 8:21	Male	1st year	4	3	2	5	1	1	1	Parents or Family members	3
11-12-2019 8:30	Male	3rd Year	6	2	4	2	0	0.5	1	Parents or Family members	1
11-12-2019 9:15	Male	1st year	2	4	3	4	1	0.5	1	0 one	3
11-12-2019 9:18	Male	1st year	6	4	5	5	1	1	1	Friends	4
11-12-2019 9:30	Male	1st year	3	2	1	2	1	0	0.5	0 one	1
11-12-2019 9:38	Male	2nd Year	5	3	3	4	1	1	1	Parents or Family members	3
11-12-2019 9:38	Female	3rd Year	5	5	5	4	1	1	1	Parents or Family members	2
11-12-2019 9:44			3	3	2	4	1	0.5	0.5	Parents or Family members	2
11-12-2019 10:00	Male	2nd Year	6	3	3	3	1	0.5	0.5	Parents or Family members	3
11-12-2019 10:04	Male	1st year	5	5	3	4	1	0.5	1	Friends	4
11-12-2019 10:25	Male	3rd Year	5	5	5	5	1	1	1	Friends	4
11-12-2019 10:33	Male	2nd Year	4	4	2	4	1	0	1	Friends	5
11-12-2019 10:35	Male	1st year	3	3	1	4	0	0.5	0.5	0 one	4
11-12-2019 10:44	Female	3rd Year	6	4	4	3	0	0.5	0.5	0 one	2
11-12-2019 10:45	Male	4th Year	6	3	3	6	1	0	1	0 one	
11-12-2019 10:47	Male	1st year	3	2	1	4	1	1	1	Friends	4
11-12-2019 10:49	Male	1st year	3	3	3	6	1	0.5	1	Friends	3
11-12-2019 10:52	Male	3rd Year	3	3	4	6	1	1	1	Friends	3
11-12-2019 11:35	Male	1st year	3	4	4	6	1	1	1	Friends	3
11-12-2019 11:39	Male	2nd Year	4	4	5	5	1	1	1	Friends	4
11-12-2019 11:42	Male	1st year	4	3	4	6	1	0.5	0.5	0 one	4
11-12-2019 11:57	Male	1st year	4	2	3	6	1	0	0.5	Parents	2
11-12-2019 14:13	Male	1st year	5	4	3	4	1	0.5	1	Friends	5
11-12-2019 14:26	Male	1st year	4	4	3	6	1	0.5	1	Parents or Family members	5
11-12-2019 14:33	Male	2nd Year	4	4	4	4	1	1	1	Friends	3
11-12-2019 15:11	Female	2nd Year	1	1	2	5	1	1	1	Friends	1
11-12-2019 15:37	Male	1st year	4	4	3	5	1	1	1	Friends	4
11-12-2019 15:39	Male	1st year	5	5	1	6	1	1	1	Parents or Family members	2
11-12-2019 16:25	Male	4th Year	6	1	1	6	0	0.5	0.5	0 one	1
11-12-2019 17:25	Male	1st year	3	2	3	2	1	0.5	1	Friends	5
11-12-2019 17:32	Male	1st year	4	3	4	6	1	0.5	1	Parents or Family members	5
11-12-2019 17:53	Male	1st year	4	3	3	6	1	1	1	0 one	3
11-12-2019 19:18	Female	4th Year	6	4	4	6	0	1	1	Friends	2
11-12-2019 19:34	Male	3rd Year	5	4	4	5	1	0.5	1	Friends	3
11-12-2019 20:25	Male	1st year	2	3	1	5	1	0	0.5	Friends	3
11-12-2019 20:27	Male	1st year	5	4	1	4	1	1	1	Friends	3
11-12-2019 20:30	Male	3rd Year	3	2	1	6	0	1	0.5	Friends	1
11-12-2019 20:54	Male	3rd Year	6	2	2	1	0	0	0	0 one	1
11-12-2019 21:08	Male	1st year	4	4	5	3	1	0	0.5	0 one	4
11-12-2019 21:38	Male	1st year	3	3	4	3	1	0.5	1	Friends	4
11-12-2019 23:27	Male	2nd Year	5	4	3	3	1	1	1	Parents or Family members	2
11-12-2019 23:31	Male	1st year	4	4	2	3	1	1	1	Parents or Family members	4
11-12-2019 23:39	Male	1st year	4	4	3	6	1	0.5	1	Parents or Family members	1
11-12-2019 23:58	Male	1st year	3	4	4	6	0	1	1	Parents or Family members	4
11/13/2019 0:22:03	Male	1st year	5	4	3	6	1	1	1	Parents or Family members	4
11/13/2019 1:00:39	Male	1st year	4	2	3	4	0	0.5	1	seniors and mentors	5
11/13/2019 1:13:51	Male	1st year	2	3	2	2	1	0	1	0 one	2
11/13/2019 1:26:51	Male	1st year	2	3	1	1	1	0	1	0 one	1
11/13/2019 1:58:36	Male	1st year	5	5	3	6	1	0.5	0.5	Friends	3
11/13/2019 4:46:14	Female	1st year	4	3	3	1	1	0.5	1	Parents or Family members	3
11/13/2019 7:16:10	Male	1st year	4	4	1	3	0	1	1	Parents or Family members	4
11/13/2019 7:51:51	Male	1st year	4	3	5	6	1	1	1	Friends	2
11/13/2019 9:02:08	Female	1st year	4	4	3	6	1	1	1	0 one	4
11/13/2019 9:07:27	Male	1st year	4	4	3	6	1	0.5	1	Parents or Family members	4
11/13/2019 9:55:19	Male	4th Year	5	4	4	5	1	1	1	Parents or Family members	2
11/13/2019 10:18:31	Male	3rd Year	4	2	3	3	1	1	1	Parents or Family members	3
11/13/2019 11:00:21	Male	1st year	3	5	1	6	1	0	0	0 one	4
11/13/2019 11:22:26	Male	1st year	6	4	3	2	1	1	1	Parents or Family members	3
11/13/2019 11:49:35	Male	1st year	4	3	3	6	0	0.5	0.5	Parents or Family members	3
11/13/2019 12:15:16	Male	1st year	2	3	4	2	1	0.5	1	Friends	1
11/13/2019 12:53:19	Male	1st year	5	4	3	4	1	1	1	Roommate	4
11/13/2019 13:05:38	Male	1st year	5	4	4	5	1	0	1	Friends	4
11/13/2019 13:46:49	Male	2nd Year	2	5	4	4	1	0	1	Parents or Family members	4
11/13/2019 13:54:12	Male	1st year	4	5	2	6	1	0.5	1	Friends	4
11/13/2019 14:00:35	Male	1st year	5	4	3	6	1	0	0.5	Seniors	3
11/13/2019 14:53:07	Female	1st year	5	4	2	1	1	1	1	Friends	3
11/13/2019 15:52:41	Male	1st year	4	2	2	2	0	1	0.5	0 one	3
11/13/2019 16:51:28	Male	1st year	4	4	3	2	1	0	0	Friends	5
11/13/2019 17:02:03	Male	1st year	5	5	4	5	1	1	1	Parents or Family members	4
11/13/2019 17:37:37	Male	3rd Year	4	3	5	5	1	0.5	1	Friends	2
11/13/2019 20:09:57	Male	1st year	5	5	5	6	1	1	1	Friends	5
11/13/2019 21:52:53	Male	1st year	5	5	5	6	1	1	1	Friends	4
11/13/2019 23:37:36	Male	1st year	4	4	3	4	1	0.5	0.5	0 one	2
11/14/2019 9:35:04	Male	2nd Year	4	3	3	5	1	1	1	Friends	1
11/14/2019 9:39:51	Male	1st year	2	4	3	6	1	1	1	Friends	3
11/15/2019 19:33:34	Male	1st year	5	4	3	6	1	0.5	1	Parents or Family members	3
11/15/2019 21:23:01	Male	1st year	3	5	3	5	1	0	1	0 one	3
11/16/2019 11:41:26	Male	1st year	1	1	1	1	0	0	0	Parents or Family members	1
11/16/2019 17:59:25	Male	1st year	4	4	1	6	1	0.5	1	0 one	3
11/19/2019 11:59:09	Male	1st year	4	4	4	1	1	1	1	Friends	1
